Unnamed: 0,诗人,文本,朝代,情感,题目,interpretation
132,道会,去住俱为客，分悲损性情。共作无期别，谁能访死生。,唐,负面,别三辅诸僧,解释: 这首诗表达了一种深厚的友谊和爱情，即使面临分离和死亡，也不能改变彼此之间的情感。诗中的“去住俱为客”表示两个人都是客人，无论在哪里都是客人，彼此之间没有差别。“分悲损性情”表示即使面临分离和死亡，也不能改变彼此之间的情感，因为他们的情感是深厚的。最后，“共作无期别，谁能访死生”表示他们的友谊和爱情是永恒的，无论何时何地，都不会改变。 </s>
1141,张以宁,淮水风髙鴈影微，澄江潮细鲤鱼稀。客愁正怯江东雨，花落青林闻秭归。,明,负面,玉山县店见壁间黄山林献可诗次韵,解释: 这首诗描述了江南的景色和气氛。淮水的风景宜人，鸟影微小，澄江的潮水细腻，鲤鱼稀少。诗人正在感受江东的雨天，花落的青林听起来很凄凉。整首诗表达了诗人的忧伤和思乡之情。 </s>
166,黄裳,乐缘仁智两相宜，好是斜阳未可归。倒影沉沉长自在，谩怀今古叹人非。,宋,负面,暑中偶怀江上舟行,解释: 这首诗描述了乐缘和仁智两种美德的互相契合，以及斜阳的美丽和短暂。诗人感叹人生短暂，无法回到过去，只能欣赏美景，感叹人生的无常。 </s>
4957,顾随,当年清泪一行行，引吭高歌是酒狂。定力不坚馀习在，好将辛苦易悲伤。,近现代,中立,题《积木词》卷尾,解释: 这首诗描述了一个人在饮酒时的感受和情绪。他曾经喝醉，流下了一行行的清泪，高声唱歌，但现在他的力量已经消耗殆尽，只剩下一些不堪重负的习惯和悲伤的情绪。 </s>
1734,徐玑,路行僻处山山好，春到晴时物物佳。秀色连云原上麦，清香夹道刺桐花。,宋,正面,永春路,解释: 这首诗描诉了一个美丽的春天景象，在偏远的山间小路上行走，可以欣赏到美丽的麦田和清香的桐花。诗人用秀色连云、清香夹道等词语来形容这个美丽的春天景象，让人感到心旷神怡。 </s>
1687,张元干,鼎彝勋业推元老，文采风流及后昆。家世从来耐官职，百年犹见典刑存。,宋,正面,雍熙堂,解释: 这首诗描诉了一个人的成就和家族的历史。他是一个有勋业的人，推动了元老的事业，并且有文采和风流。他的家族从来没有贪污腐败，百年来一直保持着典刑的尊严。这首诗表达了对这个人的赞美和对他家族的尊重。 </s>
796,汪应辰,自然长寿又康宁，德合无疆万物亨。圣主爱亲思尽美，更羞仙术助延生。,宋,正面,太上皇后閤端午帖子词,解释: 这首诗描诉了自然界的长寿和康宁，以及圣主的爱和慈悲，帮助人们延长寿命。诗中提到了“德合无疆万物亨”，意为德行无边，万物都受益。圣主的爱和慈悲也被描述为“更羞仙术助延生”，意为圣主的爱和慈悲，使得仙术的力量也被延长了。整首诗表达了自然界和人类之间的和谐关系，以及圣主的爱和慈悲对人类的帮助。 </s>
1802,晁补之,金玉谁人咏德音，太平无象属人心。日高初散露门讲，天上五云宫殿深。,宋,中立,次韵两苏公讲筵唱和四首,解释: 这首诗描述了一个美好的场景，金玉谁人咏德音，表示美好的音乐和美好的人物，太平无象属人心，表示和平和祥和的氛围，日高初散露门讲，表示美好的天气和自然景色，天上五云宫殿深，表示美好的宫殿和建筑。整首诗表达了一种美好的愿景和理想。 </s>
2714,杨万里,今年寒食与清明，各自阴晴作么生。细雨千丝不成点，如何也解滴檐声。,宋,中立,清明雨寒八首,解释: 这首诗描诉了寒食节和清明节的景象，表达了作者对自然界的感慨和思考。诗中的“细雨千丝不成点”形容了雨水的细腻和柔和，而“如何也解滴檐声”则表达了作者对雨声的感慨和思考。整首诗通过对自然界的描绘，表达了作者对生命的感慨和思考。 </s>
3385,白居易,去国辞家谪异方，中心自怪少忧伤。为寻庄子知归处，认得无何是本乡。,唐,中立,读庄子,解释: 这首诗描诉了一个人离开家乡去异国他乡，经历了许多困难和挫折，但最终找到了自己的归属感和认同感。诗中的“中心自怪少忧伤”表达了这个人在异国他乡的孤独和忧伤，但最终他认识到自己的本乡，找到了自己的归属感和认同感。 </s>
4045,杨万里,天柱峰尖半点云，散为岳麓橘洲春。尽供诗客挥毫里，怪底春空态度新。,宋,正面,题长沙钟仲山判院岫云舒卷楼二首,解释: 这首诗描述了春天的景象，天柱峰尖上只有半点云，散落在岳麓橘洲上，春天的气息弥漫在空气中。诗人挥毫描绘了这美丽的景象，并感叹春天的新鲜感和美好。 </s>
1558,孙应时,折竹声相闻，想见雪深尺。愁杀小臣心，桥山葬明日。,宋,负面,雪夜叹,解释: 这首诗描述了一个人在寒冷的冬天里，听到了折断的竹子发出的声音，想起了雪深尺的景象，感到愁苦和悲伤。他的心情被愁杀了，感到非常沮丧。最后，他在桥山上葬送了明日，表达了对未来的悲伤和失落。 </s>
3452,黄庭坚,垂空青幕六，一一排风开。石友常思我，预知子能来。,宋,中立,荆州即事药名诗八首,解释: 这首诗描述了一个人在垂空青幕下的孤独感和思考。他想起了他的朋友，石友，并且相信他的朋友会来到他身边。这首诗表达了一种坚定的信念和希望，即即使在孤独的时候，也有人会在我们身边。 </s>
