정답,문장1,단어1,문장2,단어2
0,신동빈 롯데그룹 회장이 오랜 전통의 순혈주의를 과감히 깨고 삼고초려 끝에 김상현 롯데 유통군HQ 총괄대표를 직접 영입하였다,삼고초려,신동빈 롯데그룹 회장이 오랜 전통의 순혈주의를 과감히 깨고 고진감래 끝에 김상현 롯데 유통군HQ 총괄대표를 직접 영입하였다,고진감래
0,고진감래로 사십줄 나이에 전성기가 찾아왔다.,고진감래,군계일학으로 사십줄 나이에 전성기가 찾아왔다.,군계일학
0,"매체는 “맨유는 최악의 시즌이었지만, 호날두가 돌아와서 많은 골을 넣었다”고 군계일학의 존재감을 선보였다고 평가했다",군계일학,"매체는 “맨유는 최악의 시즌이었지만, 호날두가 돌아와서 많은 골을 넣었다”고 조강지처의 존재감을 선보였다고 평가했다",조강지처
0,철저한 대비와 늘 상황 유지에 온 힘을 다하고 앞으로도 시민 안전을 위해 유비무환의 자세로 폭설과 한파 등을 대비하겠다,유비무환,철저한 대비와 늘 상황 유지에 온 힘을 다하고 앞으로도 시민 안전을 위해 우공이산의 자세로 폭설과 한파 등을 대비하겠다,우공이산
0,장현국 위메이드 대표가 ‘우공이산’의 마음으로 올해도 도전을 이어나가겠다는 의지를 밝혔다.,우공이산,장현국 위메이드 대표가 ‘역지사지’의 마음으로 올해도 도전을 이어나가겠다는 의지를 밝혔다.,역지사지
0,여기에 담백하고 부드러운 완두콩 소스까지 곁들이면 금상첨화다.,금상첨화,여기에 담백하고 부드러운 완두콩 소스까지 곁들이면 과유불급이다.,과유불급
0,노관규 순천시장 당선인이 11년의 와신상담 끝에 더불어민주당 오하근 후보를 물리치고 현역 복귀에 성공했다,와신상담,노관규 순천시장 당선인이 11년의 고진감래 끝에 더불어민주당 오하근 후보를 물리치고 현역 복귀에 성공했다,고진감래
0,촌철살인 멘트로 강연의 포문을 활짝 연 김경일 교수는 현대인들의 공감을 200% 불러일으키는 팩폭 강연을 예고하였다.,촌철살인,감언이설 멘트로 강연의 포문을 활짝 연 김경일 교수는 현대인들의 공감을 200% 불러일으키는 팩폭 강연을 예고하였다.,감언이설
0,"김장호 후보의 당선은 단지 기초지자체장 한 자리의 승리가 아니라, 보수가 정말 정권교체를 완성했다는 화룡점정의 의미이다",화룡점정,"김장호 후보의 당선은 단지 기초지자체장 한 자리의 승리가 아니라, 보수가 정말 정권교체를 완성했다는 타산지석의 의미이다",타산지석
0,칠전팔기 노력 끝에 조건들을 만족하는 제품을 개발하는데 성공했다.,칠전팔기,일벌백계 노력 끝에 조건들을 만족하는 제품을 개발하는데 성공했다.,일벌백계
0,"권성동 원내대표는 ""민주당이 손으로는 법사위를 붙잡고 입으로만 혁신을 외친다면 그것은 표리부동의 행태""라고 강조했다.",표리부동,"권성동 원내대표는 ""민주당이 손으로는 법사위를 붙잡고 입으로만 혁신을 외친다면 그것은 토사구팽의 행태""라고 강조했다.",토사구팽
0,섣부른 중국행은 최악의 경우 '토사구팽'을 각오해야 한다는 지적이다.,토사구팽,섣부른 중국행은 최악의 경우 '살신성인'을 각오해야 한다는 지적이다.,살신성인
0,이미 합의한 사안이라면 일구이언할 게 아니라 시원스레 관련 법안을 통과시키는 것이 옳다.,일구이언,이미 합의한 사안이라면 진퇴양난할 게 아니라 시원스레 관련 법안을 통과시키는 것이 옳다.,진퇴양난
0,아직 일정이 많이 남아있으나 현재까지 리그 선두 경쟁은 울산의 독주로 어느 정도 가닥이 잡힌 반면 득점왕 경쟁은 여전히 오리무중이다. ,오리무중,아직 일정이 많이 남아있으나 현재까지 리그 선두 경쟁은 울산의 독주로 어느 정도 가닥이 잡힌 반면 득점왕 경쟁은 여전히 명약관화이다. ,명약관화
