정답,문장1,단어1,문장2
0,황 전 의장은 이번 선거에 불출마를 선언했었다. 그러나 도당의 삼고초려 식의 요청을 수락하면서 도의원에 당선했다.,삼고초려,황 전 의장은 이번 선거에 불출마를 선언했었다. 왜냐면 도당의 삼고초려 식의 요청을 수락하면서 도의원에 당선했다.
0,두 사람 모두 단수 공천이 아닌 경선을 통해 후보로 선출됐다. 그래서 고진감래 끝에 다시 도전한 이번 선거도 만만치 않았다.,고진감래,두 사람 모두 단수 공천이 아닌 경선을 통해 후보로 선출됐다. 왜냐면 고진감래 끝에 다시 도전한 이번 선거도 만만치 않았다.
0,맨유는 최악의 시즌이었다. 그러나 호날두가 돌아와서 많은 골을 넣으며 군계일학의 존재감을 선보였다.,군계일학,맨유는 최악의 시즌이었다. 왜냐면 호날두가 돌아와서 많은 골을 넣으며 군계일학의 존재감을 선보였다
0,공급망 변화에 효율적으로 대처하기 위해 원료 및 핵심소재 공급선을 다변화해야 한다. 그리고 유비무환의 자세로 안전을 경영활동의 최우선 핵심가치로 삼아야 한다.,유비무환,공급망 변화에 효율적으로 대처하기 위해 원료 및 핵심소재 공급선을 다변화해야 한다. 왜냐면 유비무환의 자세로 안전을 경영활동의 최우선 핵심가치로 삼아야 한다.
0,헐크와 헐크의 새 아내는 전처와 헤어진 후 교제했다고 주장했다. 그러나 헐크는 조강지처를 버렸다는 비판을 현재도 받고 있다.,조강지처,헐크와 헐크의 새 아내는 전처와 헤어진 후 교제했다고 주장했다. 그래서 헐크는 조강지처를 버렸다는 비판을 현재도 받고 있다.
0,박지훈을 영입했고 정효근까지 복귀하면 다른 팀에 밀리지 않을 것이다. 그리고 외국선수까지 합세하면 금상첨화가 될 것이다.,금상첨화,박지훈을 영입했고 정효근까지 복귀하면 다른 팀에 밀리지 않을 것이다. 왜냐면 외국선수까지 합세하면 금상첨화가 될 것이다.
0,전염병과 전쟁 등을 겪으며 글로벌 시장 판도가 빠르게 변하고 있다. 그리고 경쟁 상대들은 와신상담의 의지로 삼성을 추격하고 있다.,와신상담,전염병과 전쟁 등을 겪으며 글로벌 시장 판도가 빠르게 변하고 있다. 왜냐면 경쟁 상대들은 와신상담의 의지로 삼성을 추격하고 있다.
0,후추는 지방세포 억제와 비만 유전자 활동을 억제해 다이어트에도 좋다. 그러나 과유불급이라고 지나치게 많이 섭취하면 위 점막을 자극하여 염증이 발생할 수 있다.,과유불급,후추는 지방세포 억제와 비만 유전자 활동을 억제해 다이어트에도 좋다. 그래서 과유불급이라고 지나치게 많이 섭취하면 위 점막을 자극하여 염증이 발생할 수 있다.
0,민원업무를 처리하다 보면 모든 이에게 공정하게 일을 처리하는 것이 어렵다. 그러나 ‘역지사지’의 마음으로 민원응대를 하고자 노력해 본다면 공정하게 일을 할 수 있다.,역지사지,민원업무를 처리하다 보면 모든 이에게 공정하게 일을 처리하는 것이 어렵다. 왜냐면 ‘역지사지’의 마음으로 민원응대를 하고자 노력해 본다면 공정하게 일을 할 수 있다.
0,중국 교육을 예찬하고 싶지는 않다. 그러나 칭화대에서 벌어지고 있는 일은 우리가 타산지석으로 삼을 만하다.,타산지석,중국 교육을 예찬하고 싶지는 않다. 왜냐면 칭화대에서 벌어지고 있는 일은 우리가 타산지석으로 삼을 만하다.
0,그는 정확한 실상이 무엇인지에 대해 입을 닫고 있다. 그러나 현 교육감 선거가 진흙탕으로 치닫는 것은 그의 표리부동이 빚은 결과라는 게 중론이다.,표리부동,그는 정확한 실상이 무엇인지에 대해 입을 닫고 있다. 왜냐면 현 교육감 선거가 진흙탕으로 치닫는 것은 그의 표리부동이 빚은 결과라는 게 중론이다.
